country_name,peak_date,peak_new_7d
Ethiopia,2021-12-30,4229.29
Brunei,2022-03-06,4213.14
Qatar,2022-01-16,4101.57
Zambia,2022-01-03,3870.86
Mozambique,2021-12-31,3837.14
Libya,2022-02-03,3761.86
Libya,2022-02-04,3761.86
United Arab Emirates,2021-01-29,3755.0
Armenia,2022-02-05,3399.0
Kosovo,2022-01-29,3352.29
Iceland,2022-02-25,3270.71
Uganda,2021-08-18,3117.71
Tanzania,2021-08-10,3057.43
Mauritius,2022-02-17,2886.86
Kenya,2021-12-26,2774.71
Maldives,2022-01-29,2673.14
Laos,2022-04-01,2555.57
Montenegro,2022-01-10,2471.43
Bosnia and Herzegovina,2022-01-21,2464.29
Luxembourg,2022-01-25,2313.57
Egypt,2022-02-06,2287.43
Oman,2022-02-05,2246.71
Albania,2022-01-21,2210.29
Algeria,2022-01-27,2177.57
Martinique,2022-03-10,2130.71
Venezuela,2022-01-24,2106.86
Afghanistan,2021-06-21,2095.57
Nigeria,2021-12-25,1953.43
Namibia,2021-06-27,1826.71
El Salvador,2022-02-13,1811.0
El Salvador,2022-02-14,1811.0
El Salvador,2022-02-15,1811.0
El Salvador,2022-02-16,1811.0
El Salvador,2022-02-17,1811.0
El Salvador,2022-02-18,1811.0
El Salvador,2022-02-19,1811.0
Macedonia,2022-01-26,1762.14
Bhutan,2022-04-12,1716.71
Angola,2022-01-06,1712.57
French Guiana,2022-01-10,1701.29
Honduras,2021-08-18,1633.29
Kyrgyzstan,2021-07-04,1466.43
Rwanda,2021-07-23,1437.14
Jamaica,2022-01-16,1425.71
New Caledonia,2022-02-17,1412.71
New Caledonia,2022-02-18,1412.71
Uzbekistan,2022-01-23,1304.14
Mayotte,2022-01-12,1298.0
Mayotte,2022-01-13,1298.0
Mayotte,2022-01-14,1298.0
Ivory Coast,2022-01-03,1245.71
French Polynesia,2022-02-17,1245.43
French Polynesia,2022-02-18,1245.43
Cameroon,2021-03-16,1240.14
Cameroon,2021-03-17,1240.14
Cameroon,2021-03-18,1240.14
Cameroon,2021-03-19,1240.14
Cameroon,2021-03-20,1240.14
Cameroon,2021-03-21,1240.14
Cameroon,2021-03-22,1240.14
Marshall Islands,2022-08-20,1237.43
Ghana,2021-12-28,1230.86
Malta,2021-12-31,1127.86
Fiji,2021-07-21,1111.0
Swaziland,2021-12-16,1100.57
Cape Verde,2022-01-08,1062.71
Mauritania,2022-01-11,1049.86
Guyana,2022-01-18,1024.71
Democratic Republic of the Congo,2021-12-20,1017.57
Malawi,2021-01-24,994.57
Suriname,2022-01-19,992.14
Cambodia,2021-07-05,981.0
Senegal,2021-07-22,979.0
Benin,2021-09-04,944.86
Trinidad and Tobago,2022-01-21,884.14
Curaçao,2022-01-12,873.71
Aruba,2022-01-09,845.86
Guam,2022-02-12,843.29
Burundi,2021-12-28,791.43
Belize,2022-01-24,754.29
Sudan,2022-01-18,711.29
Faroe Islands,2022-02-04,710.43
Barbados,2022-01-25,709.86
Madagascar,2021-04-18,633.86
Mali,2022-01-11,616.43
Micronesia,2022-07-30,611.0
Seychelles,2022-01-13,589.57
Andorra,2022-01-24,588.57
Greenland,2022-01-12,525.57
Jersey,2022-01-10,516.0
Bahamas,2022-01-09,496.86
Bahamas,2022-01-10,496.86
Lesotho,2021-01-09,479.57
Lesotho,2021-01-10,479.57
Lesotho,2021-01-11,479.57
Togo,2022-01-02,455.29
Isle of Man,2022-01-04,451.57
Papua New Guinea,2021-10-25,447.29
Samoa,2022-04-24,441.71
Solomon Islands,2022-05-30,437.57
Solomon Islands,2022-05-31,437.57
Solomon Islands,2022-06-01,437.57
Solomon Islands,2022-06-02,437.57
Solomon Islands,2022-06-03,437.57
Solomon Islands,2022-06-04,437.57
Gabon,2021-12-27,433.43
Gabon,2021-12-28,433.43
Guernsey,2022-03-21,419.43
Guernsey,2022-03-22,419.43
Guernsey,2022-03-23,419.43
Guernsey,2022-03-24,419.43
Guernsey,2022-03-25,419.43
Guernsey,2022-03-26,419.43
Guernsey,2022-03-27,419.43
Saint Lucia,2022-01-15,411.0
Cayman Islands,2022-02-16,399.14
Nauru,2022-07-01,385.29
Syria,2021-10-20,366.14
United States Virgin Islands,2022-01-08,347.86
United States Virgin Islands,2022-01-09,347.86
Tonga,2022-03-24,334.57
Tonga,2022-03-25,334.57
East Timor,2021-08-25,322.86
American Samoa,2022-03-24,307.71
American Samoa,2022-03-25,307.71
Sint Maarten,2022-01-13,305.29
Sint Maarten,2022-01-14,305.29
Sint Maarten,2022-01-15,305.29
Guinea,2022-01-04,298.29
Grenada,2022-01-16,290.29
Grenada,2022-01-17,290.29
Burkina Faso,2022-01-07,286.29
Vanuatu,2022-04-03,261.86
Somalia,2022-01-30,249.29
Somalia,2022-01-31,249.29
Somalia,2022-02-01,249.29
Somalia,2022-02-02,249.29
Somalia,2022-02-03,249.29
Tajikistan,2020-05-23,229.57
Northern Mariana Islands,2022-02-10,216.0
Bermuda,2022-01-10,208.57
South Sudan,2021-12-23,207.43
Equatorial Guinea,2022-01-11,206.14
Kiribati,2022-02-09,200.86
Central African Republic,2021-04-18,199.14
Republic of the Congo,2022-01-02,194.14
Republic of the Congo,2022-01-03,194.14
Republic of the Congo,2022-01-04,194.14
Haiti,2020-06-05,191.43
Djibouti,2021-04-03,190.71
Hong Kong,2022-02-06,189.29
Dominica,2022-02-10,182.71
British Virgin Islands,2022-01-09,181.71
San Marino,2022-01-12,179.71
São Tomé and Príncipe,2022-01-12,179.0
Liechtenstein,2022-03-08,178.71
Comoros,2022-01-03,177.14
Palau,2022-02-06,176.86
Liberia,2021-07-02,163.14
Turks and Caicos Islands,2022-01-16,157.0
Gibraltar,2022-01-08,152.86
Cook Islands,2022-04-11,151.14
Saint Kitts and Nevis,2022-01-07,144.71
Gambia,2021-07-30,137.57
Monaco,2022-01-26,132.0
Saint Vincent and the Grenadines,2022-01-10,112.57
Yemen,2021-04-04,109.43
Falkland Islands,2022-05-11,104.86
Falkland Islands,2022-05-12,104.86
Falkland Islands,2022-05-13,104.86
Falkland Islands,2022-05-14,104.86
Falkland Islands,2022-05-15,104.86
Falkland Islands,2022-05-16,104.86
Falkland Islands,2022-05-17,104.86
Niger,2022-01-12,102.29
Antigua and Barbuda,2022-01-27,101.29
Antigua and Barbuda,2022-02-01,101.29
Nicaragua,2020-06-01,95.86
Sierra Leone,2021-06-24,88.86
Chad,2021-11-29,85.14
Chad,2021-11-30,85.14
Chad,2021-12-01,85.14
Chad,2021-12-02,85.14
Chad,2021-12-03,85.14
Chad,2021-12-04,85.14
Chad,2021-12-05,85.14
Eritrea,2021-06-09,83.43
Guinea-Bissau,2020-05-11,77.71
Anguilla,2022-01-15,47.43
Macau,2022-07-07,46.14
Montserrat,2022-05-12,42.14
Montserrat,2022-05-13,42.14
Montserrat,2022-05-14,42.14
Montserrat,2022-05-15,42.14
Montserrat,2022-05-16,42.14
Wallis and Futuna,2022-07-26,32.57
Wallis and Futuna,2022-07-27,32.57
Niue,2022-08-02,3.71
Vatican City,2020-10-14,2.0
Vatican City,2020-10-15,2.0
Vatican City,2020-10-16,2.0
Vatican City,2020-10-17,2.0
Tuvalu,2022-08-22,1.71
Tuvalu,2022-08-23,1.71
Tuvalu,2022-08-24,1.71
Tuvalu,2022-08-25,1.71
Tuvalu,2022-08-26,1.71
Tuvalu,2022-08-27,1.71
Tuvalu,2022-08-28,1.71
Pitcairn Islands,2022-07-18,0.57
Pitcairn Islands,2022-07-19,0.57
Pitcairn Islands,2022-07-20,0.57
Pitcairn Islands,2022-07-21,0.57
Pitcairn Islands,2022-07-22,0.57
Pitcairn Islands,2022-07-23,0.57
Pitcairn Islands,2022-07-24,0.57
Saint Helena,2020-01-01,0.0
Saint Helena,2020-01-02,0.0
Saint Helena,2020-01-03,0.0
Saint Helena,2020-01-04,0.0
Saint Helena,2020-01-05,0.0
Saint Helena,2020-01-06,0.0
Saint Helena,2020-01-07,0.0
Saint Helena,2020-01-08,0.0
Saint Helena,2020-01-09,0.0
Saint Helena,2020-01-10,0.0
Saint Helena,2020-01-11,0.0
Saint Helena,2020-01-12,0.0
Saint Helena,2020-01-13,0.0
Saint Helena,2020-01-14,0.0
Saint Helena,2020-01-15,0.0
Saint Helena,2020-01-16,0.0
Saint Helena,2020-01-17,0.0
Saint Helena,2020-01-18,0.0
Saint Helena,2020-01-19,0.0
Saint Helena,2020-01-20,0.0
Saint Helena,2020-01-21,0.0
Saint Helena,2020-01-22,0.0
Saint Helena,2020-01-23,0.0
Saint Helena,2020-01-24,0.0
Saint Helena,2020-01-25,0.0
Saint Helena,2020-01-26,0.0
Saint Helena,2020-01-27,0.0
Saint Helena,2020-01-28,0.0
Saint Helena,2020-01-29,0.0
Saint Helena,2020-01-30,0.0
Saint Helena,2020-01-31,0.0
Saint Helena,2020-02-01,0.0
Saint Helena,2020-02-02,0.0
Saint Helena,2020-02-03,0.0
Saint Helena,2020-02-04,0.0
Saint Helena,2020-02-05,0.0
Saint Helena,2020-02-06,0.0
Saint Helena,2020-02-07,0.0
Saint Helena,2020-02-08,0.0
Saint Helena,2020-02-09,0.0
Saint Helena,2020-02-10,0.0
Saint Helena,2020-02-11,0.0
Saint Helena,2020-02-12,0.0
Saint Helena,2020-02-13,0.0
Saint Helena,2020-02-14,0.0
Saint Helena,2020-02-15,0.0
Saint Helena,2020-02-16,0.0
Saint Helena,2020-02-17,0.0
Saint Helena,2020-02-18,0.0
Saint Helena,2020-02-19,0.0
Saint Helena,2020-02-20,0.0
Saint Helena,2020-02-21,0.0
Saint Helena,2020-02-22,0.0
Saint Helena,2020-02-23,0.0
Saint Helena,2020-02-24,0.0
Saint Helena,2020-02-25,0.0
Saint Helena,2020-02-26,0.0
Saint Helena,2020-02-27,0.0
Saint Helena,2020-02-28,0.0
Saint Helena,2020-02-29,0.0
Saint Helena,2020-03-01,0.0
Saint Helena,2020-03-02,0.0
Saint Helena,2020-03-03,0.0
Saint Helena,2020-03-04,0.0
Saint Helena,2020-03-05,0.0
Saint Helena,2020-03-06,0.0
Saint Helena,2020-03-07,0.0
Saint Helena,2020-03-08,0.0
Saint Helena,2020-03-09,0.0
Saint Helena,2020-03-10,0.0
Saint Helena,2020-03-11,0.0
Saint Helena,2020-03-12,0.0
Saint Helena,2020-03-13,0.0
Saint Helena,2020-03-14,0.0
Saint Helena,2020-03-15,0.0
Saint Helena,2020-03-16,0.0
Saint Helena,2020-03-17,0.0
Saint Helena,2020-03-18,0.0
Saint Helena,2020-03-19,0.0
Saint Helena,2020-03-20,0.0
Saint Helena,2020-03-21,0.0
Saint Helena,2020-03-22,0.0
Saint Helena,2020-03-23,0.0
Saint Helena,2020-03-24,0.0
Saint Helena,2020-03-25,0.0
Saint Helena,2020-03-26,0.0
Saint Helena,2020-03-27,0.0
Saint Helena,2020-03-28,0.0
Saint Helena,2020-03-29,0.0
Saint Helena,2020-03-30,0.0
Saint Helena,2020-03-31,0.0
Saint Helena,2020-04-01,0.0
Saint Helena,2020-04-02,0.0
Saint Helena,2020-04-03,0.0
Saint Helena,2020-04-04,0.0
Saint Helena,2020-04-05,0.0
Saint Helena,2020-04-06,0.0
Saint Helena,2020-04-07,0.0
Saint Helena,2020-04-08,0.0
Saint Helena,2020-04-09,0.0
Saint Helena,2020-04-10,0.0
Saint Helena,2020-04-11,0.0
Saint Helena,2020-04-12,0.0
Saint Helena,2020-04-13,0.0
Saint Helena,2020-04-14,0.0
Saint Helena,2020-04-15,0.0
Saint Helena,2020-04-16,0.0
Saint Helena,2020-04-17,0.0
Saint Helena,2020-04-18,0.0
Saint Helena,2020-04-19,0.0
Saint Helena,2020-04-20,0.0
Saint Helena,2020-04-21,0.0
Saint Helena,2020-04-22,0.0
Saint Helena,2020-04-23,0.0
Saint Helena,2020-04-24,0.0
Saint Helena,2020-04-25,0.0
Saint Helena,2020-04-26,0.0
Saint Helena,2020-04-27,0.0
Saint Helena,2020-04-28,0.0
Saint Helena,2020-04-29,0.0
Saint Helena,2020-04-30,0.0
Saint Helena,2020-05-01,0.0
Saint Helena,2020-05-02,0.0
Saint Helena,2020-05-03,0.0
Saint Helena,2020-05-04,0.0
Saint Helena,2020-05-05,0.0
Saint Helena,2020-05-06,0.0
Saint Helena,2020-05-07,0.0
Saint Helena,2020-05-08,0.0
Saint Helena,2020-05-09,0.0
Saint Helena,2020-05-10,0.0
Saint Helena,2020-05-11,0.0
Saint Helena,2020-05-12,0.0
Saint Helena,2020-05-13,0.0
Saint Helena,2020-05-14,0.0
Saint Helena,2020-05-15,0.0
Saint Helena,2020-05-16,0.0
Saint Helena,2020-05-17,0.0
Saint Helena,2020-05-18,0.0
Saint Helena,2020-05-19,0.0
Saint Helena,2020-05-20,0.0
Saint Helena,2020-05-21,0.0
Saint Helena,2020-05-22,0.0
Saint Helena,2020-05-23,0.0
Saint Helena,2020-05-24,0.0
Saint Helena,2020-05-25,0.0
Saint Helena,2020-05-26,0.0
Saint Helena,2020-05-27,0.0
Saint Helena,2020-05-28,0.0
Saint Helena,2020-05-29,0.0
Saint Helena,2020-05-30,0.0
Saint Helena,2020-05-31,0.0
Saint Helena,2020-06-01,0.0
Saint Helena,2020-06-02,0.0
Saint Helena,2020-06-03,0.0
Saint Helena,2020-06-04,0.0
Saint Helena,2020-06-05,0.0
Saint Helena,2020-06-06,0.0
Saint Helena,2020-06-07,0.0
Saint Helena,2020-06-08,0.0
Saint Helena,2020-06-09,0.0
Saint Helena,2020-06-10,0.0
Saint Helena,2020-06-11,0.0
Saint Helena,2020-06-12,0.0
Saint Helena,2020-06-13,0.0
Saint Helena,2020-06-14,0.0
Saint Helena,2020-06-15,0.0
Saint Helena,2020-06-16,0.0
Saint Helena,2020-06-17,0.0
Saint Helena,2020-06-18,0.0
Saint Helena,2020-06-19,0.0
Saint Helena,2020-06-20,0.0
Saint Helena,2020-06-21,0.0
Saint Helena,2020-06-22,0.0
Saint Helena,2020-06-23,0.0
Saint Helena,2020-06-24,0.0
Saint Helena,2020-06-25,0.0
Saint Helena,2020-06-26,0.0
Saint Helena,2020-06-27,0.0
Saint Helena,2020-06-28,0.0
Saint Helena,2020-06-29,0.0
Saint Helena,2020-06-30,0.0
Saint Helena,2020-07-01,0.0
Saint Helena,2020-07-02,0.0
Saint Helena,2020-07-03,0.0
Saint Helena,2020-07-04,0.0
Saint Helena,2020-07-05,0.0
Saint Helena,2020-07-06,0.0
Saint Helena,2020-07-07,0.0
Saint Helena,2020-07-08,0.0
Saint Helena,2020-07-09,0.0
Saint Helena,2020-07-10,0.0
Saint Helena,2020-07-11,0.0
Saint Helena,2020-07-12,0.0
Saint Helena,2020-07-13,0.0
Saint Helena,2020-07-14,0.0
Saint Helena,2020-07-15,0.0
Saint Helena,2020-07-16,0.0
Saint Helena,2020-07-17,0.0
Saint Helena,2020-07-18,0.0
Saint Helena,2020-07-19,0.0
Saint Helena,2020-07-20,0.0
Saint Helena,2020-07-21,0.0
Saint Helena,2020-07-22,0.0
Saint Helena,2020-07-23,0.0
Saint Helena,2020-07-24,0.0
Saint Helena,2020-07-25,0.0
Saint Helena,2020-07-26,0.0
Saint Helena,2020-07-27,0.0
Saint Helena,2020-07-28,0.0
Saint Helena,2020-07-29,0.0
Saint Helena,2020-07-30,0.0
Saint Helena,2020-07-31,0.0
Saint Helena,2020-08-01,0.0
Saint Helena,2020-08-02,0.0
Saint Helena,2020-08-03,0.0
Saint Helena,2020-08-04,0.0
Saint Helena,2020-08-05,0.0
Saint Helena,2020-08-06,0.0
Saint Helena,2020-08-07,0.0
Saint Helena,2020-08-08,0.0
Saint Helena,2020-08-09,0.0
Saint Helena,2020-08-10,0.0
Saint Helena,2020-08-11,0.0
Saint Helena,2020-08-12,0.0
Saint Helena,2020-08-13,0.0
Saint Helena,2020-08-14,0.0
Saint Helena,2020-08-15,0.0
Saint Helena,2020-08-16,0.0
Saint Helena,2020-08-17,0.0
Saint Helena,2020-08-18,0.0
Saint Helena,2020-08-19,0.0
Saint Helena,2020-08-20,0.0
Saint Helena,2020-08-21,0.0
Saint Helena,2020-08-22,0.0
Saint Helena,2020-08-23,0.0
Saint Helena,2020-08-24,0.0
Saint Helena,2020-08-25,0.0
Saint Helena,2020-08-26,0.0
Saint Helena,2020-08-27,0.0
Saint Helena,2020-08-28,0.0
Saint Helena,2020-08-29,0.0
Saint Helena,2020-08-30,0.0
Saint Helena,2020-08-31,0.0
Saint Helena,2020-09-01,0.0
Saint Helena,2020-09-02,0.0
Saint Helena,2020-09-03,0.0
Saint Helena,2020-09-04,0.0
Saint Helena,2020-09-05,0.0
Saint Helena,2020-09-06,0.0
Saint Helena,2020-09-07,0.0
Saint Helena,2020-09-08,0.0
Saint Helena,2020-09-09,0.0
Saint Helena,2020-09-10,0.0
Saint Helena,2020-09-11,0.0
Saint Helena,2020-09-12,0.0
Saint Helena,2020-09-13,0.0
Saint Helena,2020-09-14,0.0
Saint Helena,2020-09-15,0.0
Saint Helena,2020-09-16,0.0
Saint Helena,2020-09-17,0.0
Saint Helena,2020-09-18,0.0
Saint Helena,2020-09-19,0.0
Saint Helena,2020-09-20,0.0
Saint Helena,2020-09-21,0.0
Saint Helena,2020-09-22,0.0
Saint Helena,2020-09-23,0.0
Saint Helena,2020-09-24,0.0
Saint Helena,2020-09-25,0.0
Saint Helena,2020-09-26,0.0
Saint Helena,2020-09-27,0.0
Saint Helena,2020-09-28,0.0
Saint Helena,2020-09-29,0.0
Saint Helena,2020-09-30,0.0
Saint Helena,2020-10-01,0.0
Saint Helena,2020-10-02,0.0
Saint Helena,2020-10-03,0.0
Saint Helena,2020-10-04,0.0
Saint Helena,2020-10-05,0.0
Saint Helena,2020-10-06,0.0
Saint Helena,2020-10-07,0.0
Saint Helena,2020-10-08,0.0
Saint Helena,2020-10-09,0.0
Saint Helena,2020-10-10,0.0
Saint Helena,2020-10-11,0.0
Saint Helena,2020-10-12,0.0
Saint Helena,2020-10-13,0.0
Saint Helena,2020-10-14,0.0
Saint Helena,2020-10-15,0.0
Saint Helena,2020-10-16,0.0
Saint Helena,2020-10-17,0.0
Saint Helena,2020-10-18,0.0
Saint Helena,2020-10-19,0.0
Saint Helena,2020-10-20,0.0
Saint Helena,2020-10-21,0.0
Saint Helena,2020-10-22,0.0
Saint Helena,2020-10-23,0.0
Saint Helena,2020-10-24,0.0
Saint Helena,2020-10-25,0.0
Saint Helena,2020-10-26,0.0
Saint Helena,2020-10-27,0.0
Saint Helena,2020-10-28,0.0
Saint Helena,2020-10-29,0.0
Saint Helena,2020-10-30,0.0
Saint Helena,2020-10-31,0.0
Saint Helena,2020-11-01,0.0
Saint Helena,2020-11-02,0.0
Saint Helena,2020-11-03,0.0
Saint Helena,2020-11-04,0.0
Saint Helena,2020-11-05,0.0
Saint Helena,2020-11-06,0.0
Saint Helena,2020-11-07,0.0
Saint Helena,2020-11-08,0.0
Saint Helena,2020-11-09,0.0
Saint Helena,2020-11-10,0.0
Saint Helena,2020-11-11,0.0
Saint Helena,2020-11-12,0.0
Saint Helena,2020-11-13,0.0
Saint Helena,2020-11-14,0.0
Saint Helena,2020-11-15,0.0
Saint Helena,2020-11-16,0.0
Saint Helena,2020-11-17,0.0
Saint Helena,2020-11-18,0.0
Saint Helena,2020-11-19,0.0
Saint Helena,2020-11-20,0.0
Saint Helena,2020-11-21,0.0
Saint Helena,2020-11-22,0.0
Saint Helena,2020-11-23,0.0
Saint Helena,2020-11-24,0.0
Saint Helena,2020-11-25,0.0
Saint Helena,2020-11-26,0.0
Saint Helena,2020-11-27,0.0
Saint Helena,2020-11-28,0.0
Saint Helena,2020-11-29,0.0
Saint Helena,2020-11-30,0.0
Saint Helena,2020-12-01,0.0
Saint Helena,2020-12-02,0.0
Saint Helena,2020-12-03,0.0
Saint Helena,2020-12-04,0.0
Saint Helena,2020-12-05,0.0
Saint Helena,2020-12-06,0.0
Saint Helena,2020-12-07,0.0
Saint Helena,2020-12-08,0.0
Saint Helena,2020-12-09,0.0
Saint Helena,2020-12-10,0.0
Saint Helena,2020-12-11,0.0
Saint Helena,2020-12-12,0.0
Saint Helena,2020-12-13,0.0
Saint Helena,2020-12-14,0.0
Saint Helena,2020-12-15,0.0
Saint Helena,2020-12-16,0.0
Saint Helena,2020-12-17,0.0
Saint Helena,2020-12-18,0.0
Saint Helena,2020-12-19,0.0
Saint Helena,2020-12-20,0.0
Saint Helena,2020-12-21,0.0
Saint Helena,2020-12-22,0.0
Saint Helena,2020-12-23,0.0
Saint Helena,2020-12-24,0.0
Saint Helena,2020-12-25,0.0
Saint Helena,2020-12-26,0.0
Saint Helena,2020-12-27,0.0
Saint Helena,2020-12-28,0.0
Saint Helena,2020-12-29,0.0
Saint Helena,2020-12-30,0.0
Saint Helena,2020-12-31,0.0
Saint Helena,2021-01-01,0.0
Saint Helena,2021-01-02,0.0
Saint Helena,2021-01-03,0.0
Saint Helena,2021-01-04,0.0
Saint Helena,2021-01-05,0.0
Saint Helena,2021-01-06,0.0
Saint Helena,2021-01-07,0.0
Saint Helena,2021-01-08,0.0
Saint Helena,2021-01-09,0.0
Saint Helena,2021-01-10,0.0
Saint Helena,2021-01-11,0.0
Saint Helena,2021-01-12,0.0
Saint Helena,2021-01-13,0.0
Saint Helena,2021-01-14,0.0
Saint Helena,2021-01-15,0.0
Saint Helena,2021-01-16,0.0
Saint Helena,2021-01-17,0.0
Saint Helena,2021-01-18,0.0
Saint Helena,2021-01-19,0.0
Saint Helena,2021-01-20,0.0
Saint Helena,2021-01-21,0.0
Saint Helena,2021-01-22,0.0
Saint Helena,2021-01-23,0.0
Saint Helena,2021-01-24,0.0
Saint Helena,2021-01-25,0.0
Saint Helena,2021-01-26,0.0
Saint Helena,2021-01-27,0.0
Saint Helena,2021-01-28,0.0
Saint Helena,2021-01-29,0.0
Saint Helena,2021-01-30,0.0
Saint Helena,2021-01-31,0.0
Saint Helena,2021-02-01,0.0
Saint Helena,2021-02-02,0.0
Saint Helena,2021-02-03,0.0
Saint Helena,2021-02-04,0.0
Saint Helena,2021-02-05,0.0
Saint Helena,2021-02-06,0.0
Saint Helena,2021-02-07,0.0
Saint Helena,2021-02-08,0.0
Saint Helena,2021-02-09,0.0
Saint Helena,2021-02-10,0.0
Saint Helena,2021-02-11,0.0
Saint Helena,2021-02-12,0.0
Saint Helena,2021-02-13,0.0
Saint Helena,2021-02-14,0.0
Saint Helena,2021-02-15,0.0
Saint Helena,2021-02-16,0.0
Saint Helena,2021-02-17,0.0
Saint Helena,2021-02-18,0.0
Saint Helena,2021-02-19,0.0
Saint Helena,2021-02-20,0.0
Saint Helena,2021-02-21,0.0
Saint Helena,2021-02-22,0.0
Saint Helena,2021-02-23,0.0
Saint Helena,2021-02-24,0.0
Saint Helena,2021-02-25,0.0
Saint Helena,2021-02-26,0.0
Saint Helena,2021-02-27,0.0
Saint Helena,2021-02-28,0.0
Saint Helena,2021-03-01,0.0
Saint Helena,2021-03-02,0.0
Saint Helena,2021-03-03,0.0
Saint Helena,2021-03-04,0.0
Saint Helena,2021-03-05,0.0
Saint Helena,2021-03-06,0.0
Saint Helena,2021-03-07,0.0
Saint Helena,2021-03-08,0.0
Saint Helena,2021-03-09,0.0
Saint Helena,2021-03-10,0.0
Saint Helena,2021-03-11,0.0
Saint Helena,2021-03-12,0.0
Saint Helena,2021-03-13,0.0
Saint Helena,2021-03-14,0.0
Saint Helena,2021-03-15,0.0
Saint Helena,2021-03-16,0.0
Saint Helena,2021-03-17,0.0
Saint Helena,2021-03-18,0.0
Saint Helena,2021-03-19,0.0
Saint Helena,2021-03-20,0.0
Saint Helena,2021-03-21,0.0
Saint Helena,2021-03-22,0.0
Saint Helena,2021-03-23,0.0
Saint Helena,2021-03-24,0.0
Saint Helena,2021-03-25,0.0
Saint Helena,2021-03-26,0.0
Saint Helena,2021-03-27,0.0
Saint Helena,2021-03-28,0.0
Saint Helena,2021-03-29,0.0
Saint Helena,2021-03-30,0.0
Saint Helena,2021-03-31,0.0
Saint Helena,2021-04-01,0.0
Saint Helena,2021-04-02,0.0
Saint Helena,2021-04-03,0.0
Saint Helena,2021-04-04,0.0
Saint Helena,2021-04-05,0.0
Saint Helena,2021-04-06,0.0
Saint Helena,2021-04-07,0.0
Saint Helena,2021-04-08,0.0
Saint Helena,2021-04-09,0.0
Saint Helena,2021-04-10,0.0
Saint Helena,2021-04-11,0.0
Saint Helena,2021-04-12,0.0
Saint Helena,2021-04-13,0.0
Saint Helena,2021-04-14,0.0
Saint Helena,2021-04-15,0.0
Saint Helena,2021-04-16,0.0
Saint Helena,2021-04-17,0.0
Saint Helena,2021-04-18,0.0
Saint Helena,2021-04-19,0.0
Saint Helena,2021-04-20,0.0
